dt,x,y,position,velocity,acceleration,jerk,heading
0.020,161.496,16.382,161.652,116.620,-2.346,8.844,0.124
0.020,163.809,16.676,163.984,116.576,-2.161,9.265,0.129
0.020,166.120,16.983,166.315,116.537,-1.967,9.678,0.135
0.020,168.428,17.303,168.645,116.502,-1.766,10.082,0.140
0.020,170.733,17.635,170.974,116.471,-1.556,10.476,0.146
0.020,173.036,17.981,173.303,116.444,-1.339,10.859,0.152
0.020,175.337,18.339,175.631,116.422,-1.114,11.229,0.157
0.020,177.635,18.711,177.959,116.404,-0.883,11.586,0.163
0.020,179.931,19.096,180.287,116.391,-0.644,11.928,0.169
0.020,182.224,19.494,182.615,116.383,-0.399,12.255,0.175
0.020,184.515,19.906,184.943,116.380,-0.148,12.566,0.181
0.020,186.804,20.330,187.270,116.382,0.110,12.861,0.186
0.020,189.090,20.768,189.598,116.390,0.372,13.138,0.192
0.020,191.374,21.220,191.926,116.403,0.640,13.398,0.198
0.020,193.656,21.684,194.254,116.421,0.913,13.641,0.204
0.020,195.935,22.161,196.583,116.445,1.190,13.867,0.209
0.020,198.211,22.652,198.912,116.421,-1.175,-118.282,0.215
0.020,200.482,23.154,201.237,116.282,-6.968,-289.626,0.221
0.020,202.745,23.668,203.558,116.011,-13.546,-328.922,0.226
0.020,204.997,24.192,205.870,115.608,-20.136,-329.469,0.231
0.020,207.235,24.726,208.171,115.073,-26.740,-330.197,0.237
0.020,209.458,25.268,210.459,114.406,-33.362,-331.102,0.242
0.020,211.663,25.818,212.731,113.606,-40.005,-332.178,0.247
0.020,213.847,26.374,214.985,112.673,-46.673,-333.415,0.252
0.020,216.007,26.936,217.217,111.605,-53.370,-334.805,0.257
0.020,218.142,27.501,219.425,110.403,-60.096,-336.336,0.261
0.020,220.248,28.068,221.606,109.066,-66.856,-337.995,0.265
0.020,222.323,28.637,223.758,107.593,-73.651,-339.768,0.270
0.020,224.365,29.206,225.878,105.983,-80.484,-341.640,0.274
0.020,226.371,29.773,227.963,104.236,-87.356,-343.596,0.277
0.020,228.339,30.337,230.010,102.351,-94.269,-345.619,0.281
0.020,230.266,30.897,232.016,100.326,-101.222,-347.691,0.284
0.020,232.149,31.450,233.979,98.162,-108.218,-349.795,0.287
0.020,233.987,31.997,235.897,95.857,-115.257,-351.911,0.290
0.020,235.776,32.534,237.765,93.410,-122.337,-354.022,0.293
0.020,237.514,33.061,239.581,90.821,-129.459,-356.107,0.296
0.020,239.199,33.576,241.343,88.089,-136.622,-358.147,0.298
0.020,240.828,34.078,243.047,85.212,-143.824,-360.119,0.300
0.020,242.398,34.565,244.691,82.191,-151.065,-362.004,0.302
0.020,243.906,35.037,246.272,79.024,-158.340,-363.779,0.304
0.020,245.351,35.491,247.786,75.711,-165.649,-365.421,0.305
0.020,246.730,35.926,249.232,72.305,-170.290,-232.088,0.307
0.020,248.043,36.343,250.609,68.876,-171.456,-58.296,0.308
0.020,249.290,36.740,251.918,65.439,-171.829,-18.664,0.309
0.020,250.471,37.117,253.158,61.995,-172.200,-18.521,0.310
0.020,251.586,37.474,254.329,58.544,-172.565,-18.264,0.310
0.020,252.635,37.811,255.431,55.086,-172.923,-17.897,0.311
0.020,253.618,38.128,256.463,51.620,-173.272,-17.424,0.312
0.020,254.534,38.423,257.426,48.148,-173.609,-16.849,0.312
0.020,255.384,38.698,258.319,44.669,-173.932,-16.176,0.313
0.020,256.169,38.952,259.144,41.239,-171.526,120.297,0.313
0.020,256.891,39.185,259.903,37.927,-165.582,297.185,0.313
0.020,257.552,39.400,260.598,34.751,-158.809,338.691,0.313
0.020,258.155,39.595,261.232,31.711,-152.004,340.235,0.314
0.020,258.703,39.773,261.808,28.808,-145.170,341.698,0.314
0.020,259.199,39.934,262.329,26.041,-138.309,343.072,0.314
0.020,259.644,40.078,262.797,23.413,-131.421,344.354,0.314
0.020,260.042,40.208,263.216,20.923,-124.511,345.539,0.314
0.020,260.395,40.322,263.587,18.571,-117.578,346.625,0.314
0.020,260.707,40.423,263.914,16.359,-110.626,347.612,0.314
0.020,260.978,40.512,264.200,14.286,-103.656,348.500,0.314
0.020,261.213,40.588,264.447,12.352,-96.670,349.291,0.314
0.020,261.414,40.653,264.658,10.559,-89.670,349.988,0.314
0.020,261.584,40.708,264.836,8.906,-82.658,350.594,0.314
0.020,261.724,40.754,264.984,7.393,-75.636,351.114,0.314
0.020,261.839,40.791,265.105,6.021,-68.605,351.553,0.314
0.020,261.930,40.821,265.200,4.789,-61.567,351.917,0.314
0.020,262.000,40.844,265.274,3.699,-54.523,352.211,0.314
0.020,262.052,40.861,265.329,2.750,-47.474,352.444,0.314
0.020,262.089,40.873,265.368,1.941,-40.421,352.621,0.314
0.020,262.114,40.881,265.394,1.274,-33.366,352.750,0.314
0.020,262.128,40.885,265.409,0.748,-26.310,352.838,0.314
0.020,262.135,40.887,265.416,0.363,-19.252,352.894,0.314
0.020,262.137,40.888,265.418,0.119,-12.193,352.924,0.314
0.020,262.137,40.888,265.419,0.016,-5.134,352.937,0.314
0.020,262.137,40.888,265.419,0.000,-0.802,216.595,0.314
