dt,x,y,position,velocity,acceleration,jerk,heading
0.020,159.684,-9.010,159.813,123.283,2.691,-7.984,0.113
0.020,162.134,-8.725,162.280,123.333,2.523,-8.416,0.118
0.020,164.584,-8.427,164.748,123.380,2.346,-8.843,0.124
0.020,167.032,-8.115,167.216,123.423,2.161,-9.263,0.129
0.020,169.480,-7.790,169.685,123.463,1.967,-9.676,0.135
0.020,171.927,-7.451,172.155,123.498,1.765,-10.080,0.140
0.020,174.372,-7.098,174.626,123.529,1.556,-10.474,0.146
0.020,176.816,-6.732,177.097,123.556,1.339,-10.857,0.152
0.020,179.258,-6.351,179.568,123.578,1.114,-11.227,0.157
0.020,181.698,-5.956,182.040,123.596,0.883,-11.584,0.163
0.020,184.136,-5.548,184.513,123.609,0.644,-11.926,0.169
0.020,186.572,-5.125,186.985,123.617,0.399,-12.253,0.175
0.020,189.006,-4.688,189.457,123.620,0.148,-12.564,0.181
0.020,191.437,-4.237,191.930,123.617,-0.109,-12.858,0.186
0.020,193.865,-3.772,194.402,123.610,-0.372,-13.136,0.192
0.020,196.290,-3.292,196.874,123.597,-0.640,-13.396,0.198
0.020,198.712,-2.800,199.345,123.579,-0.913,-13.639,0.204
0.020,201.130,-2.293,201.816,123.555,-1.190,-13.865,0.209
0.020,203.544,-1.773,204.286,123.470,-4.278,-154.406,0.215
0.020,205.951,-1.240,206.751,123.250,-10.998,-336.002,0.221
0.020,208.348,-0.696,209.208,122.879,-18.537,-376.956,0.226
0.020,210.731,-0.141,211.656,122.357,-26.066,-376.409,0.231
0.020,213.098,0.423,214.089,121.686,-33.579,-375.681,0.237
0.020,215.447,0.996,216.507,120.864,-41.075,-374.777,0.242
0.020,217.773,1.576,218.904,119.893,-48.549,-373.702,0.247
0.020,220.075,2.163,221.280,118.773,-55.998,-372.465,0.252
0.020,222.350,2.754,223.630,117.505,-63.420,-371.076,0.257
0.020,224.594,3.348,225.952,116.089,-70.811,-369.546,0.261
0.020,226.806,3.944,228.242,114.525,-78.168,-367.887,0.265
0.020,228.982,4.540,230.499,112.816,-85.491,-366.115,0.270
0.020,231.120,5.136,232.718,110.960,-92.775,-364.243,0.274
0.020,233.217,5.729,234.897,108.960,-100.021,-362.288,0.277
0.020,235.270,6.317,237.033,106.815,-107.227,-360.266,0.281
0.020,237.278,6.900,239.124,104.527,-114.390,-358.194,0.284
0.020,239.237,7.476,241.166,102.097,-121.512,-356.090,0.287
0.020,241.145,8.043,243.156,99.525,-128.592,-353.974,0.290
0.020,243.000,8.600,245.093,96.813,-135.629,-351.863,0.293
0.020,244.798,9.145,246.972,93.960,-142.625,-349.778,0.296
0.020,246.538,9.677,248.791,90.969,-149.579,-347.739,0.298
0.020,248.217,10.195,250.548,87.839,-156.495,-345.766,0.300
0.020,249.832,10.696,252.239,84.571,-163.372,-343.881,0.302
0.020,251.381,11.180,253.863,81.167,-170.214,-342.106,0.304
0.020,252.863,11.646,255.415,77.627,-177.024,-340.464,0.305
0.020,254.274,12.092,256.895,74.006,-181.046,-201.104,0.307
0.020,255.616,12.517,258.303,70.376,-181.485,-21.955,0.308
0.020,256.888,12.922,259.638,66.754,-181.112,18.663,0.309
0.020,258.091,13.306,260.901,63.139,-180.741,18.519,0.310
0.020,259.224,13.670,262.091,59.531,-180.376,18.263,0.310
0.020,260.289,14.012,263.210,55.931,-180.018,17.896,0.311
0.020,261.286,14.333,264.257,52.338,-179.670,17.423,0.312
0.020,262.214,14.632,265.232,48.751,-179.333,16.848,0.312
0.020,263.074,14.910,266.135,45.171,-179.009,16.176,0.313
0.020,263.866,15.166,266.968,41.652,-175.961,152.395,0.313
0.020,264.594,15.402,267.733,38.264,-169.392,328.448,0.313
